Postdate,Valdate,Details,Amount,UD1
01-Jan-24,01-Jan-24,REF  000016240101135659000090771446   _4000248661,"3,322.50",000016240101135659000090771446
01-Jan-24,01-Jan-24,REF  090267240101135734851057673606   _4000248662,"6,730.00",090267240101135734851057673606
01-Jan-24,01-Jan-24,REF  100004240101125819110154086251   _8441930507,"30,000.00",100004240101125819110154086251
01-Jan-24,01-Jan-24,REF  100004240101125923110154966506   _4000248663,"11,830.00",100004240101125923110154966506
01-Jan-24,01-Jan-24,REF  000014240101140022294316935417   _4000248664,"3,150.00",000014240101140022294316935417
01-Jan-24,01-Jan-24,REF  000014240101140044250676638043   _1002552991,"20,315.00",000014240101140044250676638043
01-Jan-24,01-Jan-24,REF  100004240101130249110154703223   _4000248665,"2,900.00",100004240101130249110154703223
01-Jan-24,01-Jan-24,REF  000016240101140638000090813806   _4000248666,"30,000.00",000016240101140638000090813806
01-Jan-24,01-Jan-24,REF  100004240101132032110154231084   _4000248668,"15,315.00",100004240101132032110154231084
01-Jan-24,01-Jan-24,REF  100004240101133019110155552441   _0000224015,"71,170.00",100004240101133019110155552441
01-Jan-24,01-Jan-24,REF  090110240101143211150707142068   _4000248674,"2,178.00",090110240101143211150707142068
01-Jan-24,01-Jan-24,REF  100004240101133212110154893405   _4000248675,"2,700.00",100004240101133212110154893405
01-Jan-24,01-Jan-24,REF  100004240101133231110155321497   _4000248676,"30,000.00",100004240101133231110155321497
01-Jan-24,01-Jan-24,REF  000001240101143255535685008162   _4000248672,"9,935.00",000001240101143255535685008162
01-Jan-24,01-Jan-24,REF  100004240101133748110155354988   _4000248677,"30,000.00",100004240101133748110155354988
01-Jan-24,01-Jan-24,REF  100004240101134049110155459507   _4000248678,"1,500.00",100004240101134049110155459507
01-Jan-24,01-Jan-24,REF  100004240101134134110155623503   _4000248679,"2,178.00",100004240101134134110155623503
01-Jan-24,01-Jan-24,REF  000014240101144511260871174281   _0000262896,"1,900.00",000014240101144511260871174281
01-Jan-24,01-Jan-24,REF  000023240101145008005086035565   _0000100189,"3,952.30",000023240101145008005086035565
01-Jan-24,01-Jan-24,REF  000023240101145014005086035578   _0000263070,"11,739.00",000023240101145014005086035578
01-Jan-24,01-Jan-24,REF  100004240101135314110155922611   _8108286013,"25,492.00",100004240101135314110155922611
01-Jan-24,01-Jan-24,REF  000013240101145439000061839699   _4000248681,"2,178.00",000013240101145439000061839699
01-Jan-24,01-Jan-24,REF  000001240101150007681753083199   _0000100571,"10,000,000.00",000001240101150007681753083199
01-Jan-24,01-Jan-24,REF  100004240101140124110155877907   _8166371018,"4,250.00",100004240101140124110155877907
01-Jan-24,01-Jan-24,REF  000023240101150504008086036729   _4000248684,"19,790.00",000023240101150504008086036729
01-Jan-24,01-Jan-24,REF  100004240101140644110156263219   _0000561142,"3,200.00",100004240101140644110156263219
01-Jan-24,01-Jan-24,REF  090110240101151343106273933374   _4000248685,"2,178.00",090110240101151343106273933374
01-Jan-24,01-Jan-24,REF  100004240101141426110156152281   _0000262896,"3,000.00",100004240101141426110156152281
01-Jan-24,01-Jan-24,REF  000015240101152132155914005409   _0000561142,"14,000.00",000015240101152132155914005409
01-Jan-24,01-Jan-24,REF  000013240101152336000061890736   _4000248686,"19,800.00",000013240101152336000061890736
