postdate,Valdate,Details, Amount , UD1 
01-Nov-24,01-Nov-24,REF 681545786048 & 0000224004-251133,7170.00,681545786048
01-Nov-24,01-Nov-24,REF 857427566905 & 0000427153-251134,260.00,857427566905
01-Nov-24,01-Nov-24,REF 876895838515 & 0000427153-251135,1175.00,876895838515
01-Nov-24,01-Nov-24,REF 319513575428 & 0000427164-251136,5100.00,319513575428
01-Nov-24,01-Nov-24,REF 245757199772 & 0000427153-251137,7320.00,245757199772
01-Nov-24,01-Nov-24,REF 823940446695 & 0000427153-251138,4650.00,823940446695
01-Nov-24,01-Nov-24,REF 481988939761 & 0000427153-251139,1840.00,481988939761
01-Nov-24,01-Nov-24,REF 986366527467 & 0000427164-251140,12550.00,986366527467
01-Nov-24,01-Nov-24,REF 543539355947 & 0000427153-251141,830.00,543539355947
01-Nov-24,01-Nov-24,REF 241167324020 & 0000285473-251142,10100.00,241167324020
01-Nov-24,01-Nov-24,REF 786974004993 & 0000427164-251143,15100.00,786974004993
01-Nov-24,01-Nov-24,REF 908598526152 & 0000427164-251144,591170.00,908598526152
01-Nov-24,01-Nov-24,REF 104764255856 & 0000427164-251145,2800.00,104764255856
01-Nov-24,01-Nov-24,REF 991513751835 & 0000285473-251146,1050.00,991513751835
01-Nov-24,01-Nov-24,REF 890698102868 & 0000285473-251147,1050.00,890698102868
01-Nov-24,01-Nov-24,REF 780974070954 & 0000427164-251148,67150.00,780974070954
01-Nov-24,01-Nov-24,REF 084899402052 & 0000427164-251149,17110.00,084899402052
01-Nov-24,01-Nov-24,REF 973013737069 & 0000427164-251150,13960.00,973013737069
01-Nov-24,01-Nov-24,REF 708705746265 & 0000285473-251151,10100.00,708705746265
01-Nov-24,01-Nov-24,REF 986611978861 & 0000427164-251152,2705.00,986611978861
01-Nov-24,01-Nov-24,REF 814384725768 & 0000104344-251154,500000.00,814384725768
01-Nov-24,01-Nov-24,REF 703901602310 & 0000104344-251155,500000.00,703901602310
01-Nov-24,01-Nov-24,REF 355348732447 & 0000427164-251157,1850.00,355348732447
01-Nov-24,01-Nov-24,REF 087131158028 & 0000427153-251158,610.00,087131158028
02-Nov-24,02-Nov-24,REF 807868821567 & 0000285473-251159,21300.00,807868821567
02-Nov-24,02-Nov-24,REF 704841146337 & 0000285473-251160,12700.00,704841146337
